Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Dehydrated,Florinef,slept not alone,had sex last night,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,Medical Marijuana,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,Friends,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,went to bed too late,busy,scary new shit,Social,worked,day at home,Cetraben cream,Much sex,Cinema,Guarana & Ginseng,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
,0.0,2.0,2.0,0.0,0.464990139266,2.0,2.0,2.0,2.0,0.0,1.30967766113,0.502778285248,0.0,0.091370417447,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.078438834493,0.0,0.0,0.0,1.76393480678,0.0,2.0,2.0,2.0,0.0,1.62885965235,0.0,2.0,2.0,2.0,2.0,2.0,1.24356386025,1.99993603352,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.091370417447,0.0,0.0,0.091370417447,2.0,Ritalin
0.0,,2.0,2.0,0.0,2.0,,2.0,,,,0.0,2.0,,2.0,,2.0,,,,,,,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,,,2.0,,,,,,,2.0,2.0,,,2.0,,hiking
2.0,2.0,,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,BeachBody OnDemand
2.0,2.0,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,physical therapy
0.0,0.0,2.0,2.0,,2.0,,2.0,,,,0.0,2.0,,2.0,,2.0,,,,,,,2.0,,0.0,,0.0,,,2.0,,0.0,0.0,,2.0,,,2.0,,0.0,2.0,,,2.0,,,,,,,2.0,2.0,,,2.0,,snuggles
0.464990139266,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,2.0,0.0,1.96899514667,0.00097338386087,0.0,0.161064050956,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.178958494722,0.0,2.0,0.0,1.95388610765,0.0,2.0,0.0,2.0,2.0,1.99332964723,0.0,0.0,2.0,2.0,0.0,2.0,1.94971223257,1.52541995465,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.161064050956,0.0,0.0,0.161064050956,2.0,Cyclizine
2.0,,,,,2.0,,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,Dehydrated
2.0,2.0,0.0,0.0,2.0,0.0,,,,,,2.0,0.0,,0.0,,0.0,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,Florinef
2.0,,,,,2.0,0.0,,,0.0,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,slept not alone
2.0,,,,,2.0,0.0,,0.0,,2.0,0.0,2.0,2.0,2.0,,,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,had sex last night
0.0,,,,,0.0,2.0,,2.0,2.0,,2.0,0.0,0.0,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,singing
1.30967766113,0.0,2.0,2.0,0.0,1.96899514667,0.0,2.0,0.0,0.0,2.0,,1.97895098936,2.0,1.67845660651,,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.65453518375,2.0,0.0,2.0,0.149854618905,2.0,0.0,2.0,0.0,0.0,0.0659589621301,2.0,2.0,0.0,0.0,2.0,0.0,0.00236684027251,0.701096703452,0.0,0.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,1.67845660651,2.0,2.0,1.67845660651,0.0,ate breakfast
0.502778285248,2.0,0.0,0.0,2.0,0.00097338386087,2.0,0.0,2.0,2.0,0.0,1.97895098936,,0.0,0.185887440803,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.204939522109,0.0,2.0,0.0,1.93971672962,0.0,2.0,0.0,2.0,2.0,1.98727629981,0.0,0.0,2.0,2.0,0.0,2.0,1.96260015501,1.48737659716,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.185887440803,0.0,0.0,0.185887440803,2.0,Solifenacin
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,,0.0,,,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Darifenacin
0.091370417447,2.0,0.0,0.0,2.0,0.161064050956,2.0,0.0,2.0,2.0,0.0,1.67845660651,0.185887440803,0.0,,,0.0,2.0,0.0,0.0,2.0,2.0,2.0,0.000514906036563,0.0,2.0,0.0,1.96361024933,0.0,2.0,0.0,2.0,2.0,1.89609469614,0.0,0.0,2.0,2.0,0.0,2.0,1.62633617548,1.90384813467,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medical Marijuana
2.0,2.0,0.0,0.0,2.0,0.0,,0.0,,,,2.0,0.0,,0.0,,,,,,,,,0.0,,2.0,,2.0,,,0.0,,2.0,2.0,,0.0,,,0.0,,2.0,0.0,,,0.0,,,,,,,0.0,0.0,,,0.0,,digestive enzyme
2.0,,,,,2.0,0.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,,,,2.0,2.0,0.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,,0.0,,0.0,2.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,travel
0.0,,,,,0.0,2.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,,2.0,,0.0,2.0,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,,2.0,,2.0,0.0,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,2.0,Ribose
