Abdominal cramping - extreme,Yoga,danced,tired,had sex,fast food,Pain in lower flank,ate breakfast,alcohol,migraine,trauma,no lunch,canned vegetable beef soup,happy,breakdown,eggs,stressed,Poor sleep quality,Feeling bleh,lifting things,Aquatics,chinese takeout,grilled cheese,Busy Day,got very little sleep,Brown discharge,sore,good sleep,bad sleep,walked,went to work late,Skipped work,pizza,peanut butter,row
,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,Abdominal cramping - extreme
2.0,,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,0.0,2.0,,,Yoga
0.0,2.0,,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,danced
0.0,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,tired
2.0,0.0,2.0,2.0,,,2.0,2.0,0.0,0.0,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,0.0,2.0,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fast food
0.0,2.0,0.0,0.0,2.0,,,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,Pain in lower flank
0.0,2.0,0.0,0.0,2.0,,0.0,,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,ate breakfast
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,,0.0,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,0.0,2.0,,,alcohol
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,0.0,2.0,,,migraine
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,trauma
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,canned vegetable beef soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,happy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,breakdown
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,eggs
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,stressed
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,,,,,,2.0,,2.0,,,,,,2.0,0.0,,2.0,,2.0,0.0,2.0,,,Poor sleep quality
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,,,,,,,0.0,2.0,,0.0,,0.0,2.0,0.0,,,Feeling bleh
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lifting things
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aquatics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chinese takeout
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grilled cheese
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Busy Day
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,,2.0,,0.0,,0.0,2.0,0.0,,,got very little sleep
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,,,2.0,,2.0,0.0,2.0,,,Brown discharge
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sore
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,,,0.0,2.0,0.0,,,good sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bad sleep
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,,2.0,0.0,,,walked
2.0,0.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,2.0,,,,,,2.0,0.0,2.0,,,,,,2.0,0.0,,2.0,,2.0,,2.0,,,went to work late
0.0,2.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,0.0,,,,,,0.0,2.0,0.0,,,,,,0.0,2.0,,0.0,,0.0,2.0,,,,Skipped work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pizza
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peanut butter
