flu vaccine injection,Iodine,Docosahexaenoic acid,Glycine,b12 injection,Seasonique,Selenium,Eicosapentaenoic acid,occular migraine meds,No red meat,Coenzyme q-10,Iron,foot brace,exercise - dancing,Gravol,Vitamin b complex,row
,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,flu vaccine injection
,,,,,,,,,,,,,,,,Iodine
,,,,,,,,,,,,,,,,Docosahexaenoic acid
0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,Glycine
0.0,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,b12 injection
,,,,,,,,,,,,,,,,Seasonique
,,,,,,,,,,,,,,,,Selenium
,,,,,,,,,,,,,,,,Eicosapentaenoic acid
0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,occular migraine meds
0.0,,,0.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,No red meat
0.0,,,0.0,0.0,,,,0.0,0.0,,0.0,0.0,,0.0,,Coenzyme q-10
0.0,,,0.0,0.0,,,,0.0,0.0,0.0,,0.0,,0.0,,Iron
0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,foot brace
,,,,,,,,,,,,,,,,exercise - dancing
0.0,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,,Gravol
,,,,,,,,,,,,,,,,Vitamin b complex
