heartache,weeping,social anxiety,good nights sleep,fat,Sad,zombie,nap,cravings,sleep in,row
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,heartache
0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,weeping
0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,social anxiety
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,good nights sleep
0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,fat
0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Sad
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,zombie
0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,nap
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,cravings
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,sleep in
