Triamcinolone Lotion,Vitamins,Hemorrhoid Cream,vitamin c,drank lots of water,farm work,My Goodness Organics meals,ate breakfast,slept 7 hours,blueberries,Prednisone,smoothie,Flonase,dairy,Iceburg Lettuce,foot brace,Gravol,ate tomatoes,bread,Vitamin b complex,Thyreoidum,overeating,Cold Mask,ate gluten,elliptical,Venlafaxine,butternut squash risotto,Ibuprofen 800mg,day at home,CrossFit,read book,Triamcinolone Cream,Hiking,lifted weights,Fish oil,Eicosapentaenoic acid,rice drink breakfast,Biest,exercise - dancing,Beer,Human Growth Hormone,Vicodin,Acetaminophen,Zolpidem,ice cream,Gluten,Docosahexaenoic acid,Citalopram,low acid,Sauna,Indian food,spinach,Biotin,ate rice last night,worked out,exercise,Humira,Off work,Superlong nap,Vitamin C,b12 injection,Allopurinol,ate salsa,exercised,Cleaning ,slept in,Cetirizine,Nortriptyline,stretching,hydrocortisone suppository ,Coenzyme q-10,Vitamin d,Curcumin,Thyrax,swimming,cheese,hiking,Echinacea,had sex,family,singing,Daytime sleep,lots of walking,Sitting,occular migraine meds,walked the dogs,Fructose,Diary,Psychotherapy,Car travel,No red meat,Taco Bell,Calcium citrate,Nycopro Probiotic,strawberries,Midodrine,peanuts,worked,Folic acid,Fresh air,television,puppy training,fructose ,Tylenol,Melatonin,Cannabis CBD capsule 10mg,coconut,studied,Selenium,Vacation,Nap,Pantoprazole,Inflamma-blox,5-htp,Peristeen,Cetirizine hydrochloride,Ocella,new environment,nap,ate rice,ate dairy,flu vaccine injection,knitting,ate eggs,Neti Pot,Seasonique,eggs,Daytime nap,Support worker assistance,Iron,fructose,yoga,catheter,Late lunch,tomato,archery,stress,Iodine,Glycine,walked,Sleep,Fishing,ate cheese-again,travel,row
,,0.0,,2.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,Triamcinolone Lotion
,,,,,,,,,2.0,,,,,,2.0,2.0,,,2.0,,,,,,,,,,,0.0,,,,,2.0,,,,2.0,,,,,,,2.0,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,2.0,,0.0,,,,,,,,,,2.0,,2.0,,,,2.0,,2.0,,,,2.0,,0.0,,,2.0,,,,,,,,,2.0,2.0,,,,0.0,,0.0,,,,,,2.0,,,,2.0,,,0.0,2.0,,,,,,,0.0,2.0,2.0,,,2.0,,,Vitamins
0.0,,,,2.0,,,,,,1.38089570059,,0.151850306177,,2.0,,,,,,,,,,,,0.0,,0.0,,,1.76538861576,2.0,,0.0,,,,,,,,,,,2.0,,,,0.0,,0.0,,,,2.0,0.0717155867657,,,0.10765602132,,,,,,,,,,0.0,,,,,,,0.236260773043,,2.0,,,,,,,2.0,2.0,2.0,,2.0,,2.0,,,,,,,,,,0.0,2.0,2.0,2.0,,,0.0,,,2.0,,0.0,,,,0.0,0.0,0.0,,,,,,0.0,,,2.0,,0.11235656802,2.0,2.0,,2.0,,0.0,,,,,,0.0,,,Hemorrhoid Cream
,,,,,,,,,,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,vitamin c
2.0,,2.0,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,0.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,2.0,,,,,2.0,2.0,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,drank lots of water
,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,farm work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,My Goodness Organics meals
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,slept 7 hours
,2.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,,,2.0,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,0.0,,2.0,,,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,2.0,,,0.0,,,,,,,,,0.0,0.0,,,,2.0,,2.0,,,,,,0.0,,,,0.0,,,2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,,,blueberries
