gluten,family,Same,nap,had sex,dairy,small lunch,church,groceries,woke very early,chinese takeout,row
,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,gluten
0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,family
2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Same
0.0,0.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nap
0.0,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,had sex
0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,dairy
0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,small lunch
0.0,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,church
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,groceries
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,woke very early
0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,chinese takeout
