Coffee,Vitamin D3,Aloe Detox Water,Cod liver oil,Excedrin,IVIG,Ligament Restore,Medical Marijuana,Magnesium,Psyllium husk,Zantac,row
,,0.0,,,,,0.0,,,,Coffee
,,,0.0,0.0,0.0,0.0,,,0.0,0.0,Vitamin D3
0.0,,,,,,,0.0,,,,Aloe Detox Water
,0.0,,,0.0,0.0,0.0,,,0.0,0.0,Cod liver oil
,0.0,,0.0,,0.0,0.0,,,0.0,0.0,Excedrin
,0.0,,0.0,0.0,,0.0,,,0.0,0.0,IVIG
,0.0,,0.0,0.0,0.0,,,,0.0,0.0,Ligament Restore
0.0,,0.0,,,,,,,,,Medical Marijuana
,,,,,,,,,,,Magnesium
,0.0,,0.0,0.0,0.0,0.0,,,,0.0,Psyllium husk
,0.0,,0.0,0.0,0.0,0.0,,,0.0,,Zantac
