ate unhealthy,busy,Gardening,danced,had sex,ate gluten,fast food,walked,worked in garden,dairy,Ibuprofen,Umeboshi,Yoga,Paracetamol,egg,banana,row
,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,0.0,ate unhealthy
0.0,,1.11022302463e-16,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,0.0,busy
0.0,1.11022302463e-16,,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,0.0,Gardening
2.0,2.0,2.0,,2.0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,1.11022302463e-16,,,,,2.22044604925e-16,2.0,danced
0.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,0.0,had sex
2.0,2.0,2.0,2.22044604925e-16,2.0,,4.4408920985e-16,4.4408920985e-16,4.4408920985e-16,2.22044604925e-16,,,,,4.4408920985e-16,2.0,ate gluten
2.0,2.0,2.0,2.22044604925e-16,2.0,4.4408920985e-16,,4.4408920985e-16,4.4408920985e-16,2.22044604925e-16,,,,,4.4408920985e-16,2.0,fast food
2.0,2.0,2.0,2.22044604925e-16,2.0,4.4408920985e-16,4.4408920985e-16,,4.4408920985e-16,2.22044604925e-16,,,,,4.4408920985e-16,2.0,walked
2.0,2.0,2.0,2.22044604925e-16,2.0,4.4408920985e-16,4.4408920985e-16,4.4408920985e-16,,2.22044604925e-16,,,,,4.4408920985e-16,2.0,worked in garden
2.0,2.0,2.0,1.11022302463e-16,2.0,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,2.22044604925e-16,,,,,,2.22044604925e-16,2.0,dairy
,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,Umeboshi
,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,Paracetamol
2.0,2.0,2.0,2.22044604925e-16,2.0,4.4408920985e-16,4.4408920985e-16,4.4408920985e-16,4.4408920985e-16,2.22044604925e-16,,,,,,2.0,egg
0.0,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,banana
