emotional hangover,tired,period,psychologist visit,dozed,ate breakfast,had heavily spice food,Tiring,small outing,Fatigue,left house,Bad day ,Slept well,Superlong nap,Missed meals,out of the house,Ate once,Didn't sleep well,Stressed,withdrawals,Wheelchair outing,nausea,Dog had seizures,Groceries,weekday,stressed,Fainting spell,slept 7 hours,row
,,,2.0,,,0.0,,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,,,0.0,emotional hangover
,,0.0,,0.0,2.22044604925e-16,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,2.22044604925e-16,,,tired
,0.0,,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,period
2.0,,,,,,2.0,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,,,2.0,psychologist visit
,0.0,0.0,,,0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,dozed
,2.22044604925e-16,0.0,,0.0,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,2.22044604925e-16,,,ate breakfast
0.0,,,2.0,,,,,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,,,0.0,had heavily spice food
,,,,,,,,,0.0,,,2.0,,0.0,,2.0,,0.0,,,,,0.0,,,0.0,,Tiring
2.0,,,0.0,,,2.0,,,,0.0,,,,,,,,,,0.0,,,,0.0,,,2.0,small outing
,,,,,,,0.0,,,,,2.0,,0.0,,2.0,,0.0,,,,,0.0,,,0.0,,Fatigue
2.0,,,0.0,,,2.0,,0.0,,,,,,,,,,,,0.0,,,,0.0,,,2.0,left house
,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,,Bad day 
,,,,,,,2.0,,2.0,,,,,2.0,,0.0,,2.0,,,,,2.0,,,2.0,,Slept well
,0.0,0.0,,0.0,0.0,,,,,,0.0,,,,0.0,,,,0.0,,0.0,,,,0.0,,,Superlong nap
,,,,,,,0.0,,0.0,,,2.0,,,,2.0,,0.0,,,,,0.0,,,0.0,,Missed meals
,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,,,,,,0.0,,0.0,,,,0.0,,,out of the house
,,,,,,,2.0,,2.0,,,0.0,,2.0,,,,2.0,,,,,2.0,,,2.0,,Ate once
,0.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,Didn't sleep well
,,,,,,,0.0,,0.0,,,2.0,,0.0,,2.0,,,,,,,0.0,,,0.0,,Stressed
,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,,,0.0,,,withdrawals
2.0,,,0.0,,,2.0,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,2.0,Wheelchair outing
,0.0,0.0,,0.0,0.0,,,,,,0.0,,0.0,,0.0,,,,0.0,,,,,,0.0,,,nausea
,0.0,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,,Dog had seizures
,,,,,,,0.0,,0.0,,,2.0,,0.0,,2.0,,0.0,,,,,,,,0.0,,Groceries
2.0,,,0.0,,,2.0,,0.0,,0.0,,,,,,,,,,0.0,,,,,,,2.0,weekday
,2.22044604925e-16,0.0,,0.0,2.22044604925e-16,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,,,,stressed
,,,,,,,0.0,,0.0,,,2.0,,0.0,,2.0,,0.0,,,,,0.0,,,,,Fainting spell
0.0,,,2.0,,,0.0,,2.0,,2.0,,,,,,,,,,2.0,,,,2.0,,,,slept 7 hours
