Dicyclomine,Tretinoin,Phyical Therapy - stretches,Osteopathy,Butterbur,Pantoprazole,Metformin,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Benadryl,Enada,Progesterone,Vitamin B,Medication,Tranexamic acid,Gabapentin,Flexeril,excedrin migraine,Zomig,Montelukast,Vitamin d,Corticosteroids
,1.74356007742,0.0,2.0,2.0,,0.0,0.0365419635863,,0.131922132028,0.17095584608,2.0,0.236287820998,,0.168600349544,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.000105676109277,2.0,2.0
1.74356007742,,2.0,0.0,0.0,,2.0,1.53727967656,,1.97741416544,1.24253562504,0.0,1.99952985865,,1.98975825892,2.0,2.0,2.0,2.0,,2.0,2.0,,,1.73376067402,0.0,0.0
0.0,2.0,,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0
2.0,0.0,2.0,,0.0,,2.0,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0
2.0,0.0,2.0,0.0,,,2.0,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,0.0,2.0,2.0,,,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0
0.0365419635863,1.53727967656,2.0,0.0,0.0,,2.0,,,0.29661628047,0.0514683334844,0.0,0.437113791258,,0.347824029233,2.0,2.0,2.0,2.0,,0.0,2.0,,,0.0327497535465,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.131922132028,1.97741416544,0.0,2.0,2.0,,0.0,0.29661628047,,,0.557919320761,2.0,0.016565804117,,0.00242774148618,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.13923072661,2.0,2.0
0.17095584608,1.24253562504,2.0,0.0,0.0,,2.0,0.0514683334844,,0.557919320761,,0.0,0.727833419518,,0.621457032444,2.0,2.0,2.0,2.0,,0.0,2.0,,,0.162914290003,0.0,0.0
2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,2.0,0.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,0.0
0.236287820998,1.99952985865,0.0,2.0,2.0,,0.0,0.437113791258,,0.016565804117,0.727833419518,2.0,,,0.00633018145263,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.245753358147,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.168600349544,1.98975825892,0.0,2.0,2.0,,0.0,0.347824029233,,0.00242774148618,0.621457032444,2.0,0.00633018145263,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.176766373825,2.0,2.0
0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,2.0,2.0
0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,2.0,2.0
0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,2.0,2.0
0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,2.0,,,,,,0.0,,0.0,0.0,,0.0,,0.0,,,,,,,,,,0.0,,
0.0,2.0,0.0,2.0,2.0,,0.0,2.0,,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,2.0,2.0
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
0.000105676109277,1.73376067402,0.0,2.0,2.0,,0.0,0.0327497535465,,0.13923072661,0.162914290003,2.0,0.245753358147,,0.176766373825,0.0,0.0,0.0,0.0,,0.0,0.0,,,,2.0,2.0
2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,0.0
2.0,0.0,2.0,0.0,0.0,,2.0,0.0,,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,0.0,
