Home physio exercises,Vitamins,Language Learning,Prilosec,Fluids,Osteopathy,Pantoprazole,aqua therapy,Extra Medications,Metformin,Vitamin B2,Coffee,Prednisone,Citalopram,Pet Therapy,vitamin D tablets,Physio,Daily walk,Topiramate,SPD alternative treatments,Weather- rain,ponstan,Therapy,CoQ10,Paracatamol with codeine,Aloe Detox Water,Ranitidine,ASMR,Progesterone,breathing exercises,Vitamin B,Migraine herb feverfew tablets,Magnesium,Tranexamic acid,Exercise--walking,Turmeric,Medication,TENS Unit,Essential oils,psychologist,Medical Marijuana,Methotrexate,Meditation,Multi-vitamin,massage,Imodium,row
,,,,,0.0,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Home physio exercises
,,0.0,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,,Vitamins
,0.0,,,2.0,,,,2.0,,,2.0,,,0.0,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,,Language Learning
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prilosec
,2.0,2.0,,,,,,0.0,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Fluids
0.0,,,,,,0.0,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Osteopathy
0.0,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Pantoprazole
0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,aqua therapy
,2.0,2.0,,0.0,,,,,,,0.0,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Extra Medications
0.0,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,0.0,,0.0,2.0,0.0,0.0,,,,,,0.0,,,,0.0,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Vitamin B2
,2.0,2.0,,0.0,,,,0.0,,,,,,2.0,,,0.0,,2.0,0.0,,0.0,,,0.0,,2.0,,0.0,,,,,0.0,0.0,2.0,2.0,0.0,,0.0,,2.0,,2.0,,Coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Citalopram
,0.0,0.0,,2.0,,,,2.0,,,2.0,,,,,,2.0,,0.0,2.0,,2.0,,,2.0,,0.0,,2.0,,,,,2.0,2.0,0.0,0.0,2.0,,2.0,,0.0,,0.0,,Pet Therapy
