Solifenacin,Cyclizine,Ritalin,Norco,Probiotic,Farm,Guarana & Ginseng,Vitamin d,Ribose,Ativan,Ginger,Monteluklast,Vitamin b12,Darifenacin,Feverfew,Vitamin e,Cerelle,alverine,SAM-E,Passionflower,row
,2.0,2.0,,2.0,,2.0,,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,Solifenacin
2.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Cyclizine
2.0,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Ritalin
,,,,,0.0,,0.0,,,,,,,,0.0,,,,,Norco
2.0,0.0,0.0,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Probiotic
,,,0.0,,,,0.0,,,,,,,,0.0,,,,,Farm
2.0,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Guarana & Ginseng
,,,0.0,,0.0,,,,,,,,,,0.0,,,,,Vitamin d
2.0,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Ribose
,,,,,,,,,,,,,,,,,,,,Ativan
2.0,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Ginger
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Monteluklast
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,Vitamin b12
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,Darifenacin
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,Feverfew
,,,0.0,,0.0,,0.0,,,,,,,,,,,,,Vitamin e
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Cerelle
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,alverine
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,SAM-E
2.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,Passionflower
