10.5 hours sleep,hiking,allergy shot,slept 8 hours!,bacon,cuddled kitten,Sunlight,Synthroid,8.5 hours sleep,slept 7 hours,gluten,Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,9 hours sleep,Strattera,spinach,smoothie,Allergy Shots,12 hours sleep,bed late,8 hours sleep,did some homework,Famotidine,holiday,Vitamin b complex,exercise,Netflix day,siracha,coconut milk,laundry,banana,therapy session,Astelin,small breakfast,Vitamin C,caffeine,8.75 hours sleep,social gathering,Daytime nap,THC,slept 11 hours,Allegra,Klonopin,Goth clubbing,Singulair,shopping,Fish oil,Chocolate after 6pm,CoQ10,Vitamin b12,mango,mass transit,Post-op ice device,Zinc,Vitamin d,popcorn,crafting,Melatonin,row
,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,10.5 hours sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,hiking
0.0,,,0.0,0.0,,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,allergy shot
0.0,,0.0,,0.0,,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,slept 8 hours!
0.0,,0.0,0.0,,,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,bacon
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuddled kitten
,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0,0.0,0.0,,0.0,,,,,,,,0.0,2.0,0.0,,,,,0.0,,0.0,0.0,,0.0,,2.0,,,2.0,,,,0.0,0.0,,,0.0,Sunlight
2.0,,2.0,2.0,2.0,,,,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,,2.0,2.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,Synthroid
0.0,,0.0,0.0,0.0,,,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,8.5 hours sleep
0.0,,0.0,0.0,0.0,,,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,,2.0,0.0,,0.0,0.0,2.0,,2.0,,0.0,0.0,,0.0,,2.0,2.0,,2.0,,0.0,0.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,slept 7 hours
