Yoga,gluten free diet,Fluvoxamine,mountain biking,Exercise,Tyrosine,Methylphenidate,Plaquenil,creative writing,Topiramate,Multi vitamin,Chiropractic,Stretching,Deep rest,Magnesium,Midodrine,Tavegyl,Love,Voltaren,Sertraline,Ultrasound,Cardio,Ropinirole,row
,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,0.0,,,2.0,2.0,0.0,2.0,2.0,,0.0,,2.0,Yoga
2.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,gluten free diet
2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Fluvoxamine
2.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,mountain biking
2.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Exercise
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Tyrosine
2.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Methylphenidate
2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Plaquenil
,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,0.0,,0.0,,creative writing
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,0.0,Topiramate
,0.0,,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,0.0,,Multi vitamin
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,2.0,2.0,0.0,2.0,2.0,,0.0,,2.0,Chiropractic
,0.0,,,,,,,0.0,,0.0,,,0.0,,,,,,0.0,,0.0,,Stretching
,0.0,,,,,,,0.0,,0.0,,0.0,,,,,,,0.0,,0.0,,Deep rest
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,,0.0,2.0,0.0,0.0,,2.0,,0.0,Magnesium
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,,2.0,0.0,0.0,,2.0,,0.0,Midodrine
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,0.0,,,2.0,2.0,,2.0,2.0,,0.0,,2.0,Tavegyl
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,,0.0,,2.0,,0.0,Love
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,,,2.0,,0.0,Voltaren
,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,,,0.0,,Sertraline
0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,0.0,,,2.0,2.0,0.0,2.0,2.0,,,,2.0,Ultrasound
,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,,,,0.0,,,,Cardio
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,2.0,,,0.0,0.0,2.0,0.0,0.0,,2.0,,,Ropinirole
