Thyroxine,Viibryd,Diclofenac,Probiotic,Fluoxetine,Armodafinil,Miralax low dose PM,Caffeine,gluten free,Amitryptiline,Phenergan,Cabergoline,Levothyroxine,Andrographis compound,Metoprolol,Drinking eight glasses or more of water,Magnesium amino acid chelate,gluten free diet,Vitamin b complex,Meditation,Complex b,row
,,,0.0,,,2.0,,,,0.0,,,2.0,,0.0,0.0,,0.0,,2.0,Thyroxine
,,,,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,0.0,,Viibryd
,,,,,,,,,,,,,,,,,,,,,Diclofenac
0.0,,,,,,2.0,,,,0.0,,,2.0,,0.0,0.0,,0.0,,2.0,Probiotic
,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,,,,,,,,,,,,,,,,,,,,Armodafinil
2.0,,,2.0,,,,,,,2.0,,,0.0,,2.0,2.0,,2.0,,0.0,Miralax low dose PM
,,,,,,,,,,,,,,,,,,,,,Caffeine
,0.0,,,,,,,,2.0,,,0.0,,0.0,,,0.0,,0.0,,gluten free
,2.0,,,,,,,2.0,,,,2.0,,2.0,,,2.0,,2.0,,Amitryptiline
0.0,,,0.0,,,2.0,,,,,,,2.0,,0.0,0.0,,0.0,,2.0,Phenergan
,,,,,,,,,,,,,,,,,,,,,Cabergoline
,0.0,,,,,,,0.0,2.0,,,,,0.0,,,0.0,,0.0,,Levothyroxine
2.0,,,2.0,,,0.0,,,,2.0,,,,,2.0,2.0,,2.0,,0.0,Andrographis compound
,0.0,,,,,,,0.0,2.0,,,0.0,,,,,0.0,,0.0,,Metoprolol
0.0,,,0.0,,,2.0,,,,0.0,,,2.0,,,0.0,,0.0,,2.0,Drinking eight glasses or more of water
0.0,,,0.0,,,2.0,,,,0.0,,,2.0,,0.0,,,0.0,,2.0,Magnesium amino acid chelate
,0.0,,,,,,,0.0,2.0,,,0.0,,0.0,,,,,0.0,,gluten free diet
0.0,,,0.0,,,2.0,,,,0.0,,,2.0,,0.0,0.0,,,,2.0,Vitamin b complex
,0.0,,,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,,Meditation
2.0,,,2.0,,,0.0,,,,2.0,,,0.0,,2.0,2.0,,2.0,,,Complex b
