Thyroxine,Viibryd,Diclofenac,Probiotic,Fluoxetine,Armodafinil,Miralax low dose PM,Caffeine,gluten free,Amitryptiline,Phenergan,Cabergoline,Levothyroxine,Andrographis compound,Metoprolol,Drinking eight glasses or more of water,Magnesium amino acid chelate,gluten free diet,Vitamin b complex,Meditation,Complex b,row
,,,,,,,,,,,,,,,,,,,,,Thyroxine
,,,,,,,,,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,,,,,,,,,Diclofenac
,,,,,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,Fluoxetine
,,,,,,,,,,,,,,,,,,,,,Armodafinil
,,,,,,,,,,,,,,,,,,,,,Miralax low dose PM
,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,Amitryptiline
,,,,,,,,,,,,,,,,,,,,,Phenergan
,,,,,,,,,,,,,,,,,,,,,Cabergoline
,,,,,,,,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,,,,,,,,Andrographis compound
,,,,,,,,,,,,,,,,,,,,,Metoprolol
,,,,,,,,,,,,,,,,,,,,,Drinking eight glasses or more of water
,,,,,,,,,,,,,,,,,,,,,Magnesium amino acid chelate
,,,,,,,,,,,,,,,,,,,,,gluten free diet
,,,,,,,,,,,,,,,,,,,,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,Complex b
