neck massage,Superlong nap,lots of walking,hiking,marijuana,travel,Acetaminophen,Codeine,Marijuana,exercise,housework,had sex,Dexedrine,Ibuprofen,Adderall,ate breakfast,social gathering,row
,0.0,0.0,0.0,,2.0,0.0,,,,0.0,2.0,,0.0,,0.0,,neck massage
0.0,,0.0,0.0,,2.0,0.0,,,,0.0,2.0,,0.0,,0.0,,Superlong nap
0.0,0.0,,0.0,,2.0,0.0,,,,0.0,2.0,,0.0,,0.0,,lots of walking
0.0,0.0,0.0,,,2.0,0.0,,,,0.0,2.0,,0.0,,0.0,0.0,hiking
,,,,,,,,,0.0,,,,,,,,marijuana
2.0,2.0,2.0,2.0,,,2.0,,,,2.0,0.0,,2.0,,2.0,,travel
0.0,0.0,0.0,0.0,,2.0,,,,0.0,0.0,2.0,,0.0,,1.11022302463e-16,,Acetaminophen
,,,,,,,,,,,,,,,,,Codeine
,,,,,,,,,,,,,,,,,Marijuana
,,,,0.0,,0.0,,,,,,,0.0,,0.0,,exercise
0.0,0.0,0.0,0.0,,2.0,0.0,,,,,2.0,,0.0,,0.0,,housework
2.0,2.0,2.0,2.0,,0.0,2.0,,,,2.0,,,2.0,,2.0,,had sex
,,,,,,,,,,,,,,,,,Dexedrine
0.0,0.0,0.0,0.0,,2.0,0.0,,,0.0,0.0,2.0,,,,0.0,,Ibuprofen
,,,,,,,,,,,,,,,,,Adderall
0.0,0.0,0.0,0.0,,2.0,1.11022302463e-16,,,0.0,0.0,2.0,,0.0,,,,ate breakfast
,,,0.0,,,,,,,,,,,,,,social gathering
