Dicyclomine,Tretinoin,picnic,no breakfast,Zantac,Phyical Therapy - stretches,IVIG,Osteopathy,exercise,Pantoprazole,ironing,Went out on date,drank wine,Metformin,physical therapy,lots of desk work,Fexofenadine,Vitamin D3,Relaxing,cooked breakfast,skipped meals,travel,Clinda-derm,vacation,severe pain,lift x2,excedrin migraine,Lazy day,Achy breaky rub,Psyllium husk,worked in garden,broken sleep,banana,bbq,studied,Enada,laundry,exercised,Ligament Restore,slept >12 hrs,scary new shit,Progesterone,Vitamin B,soy or tofu main dish eaten,ate salsa,Tranexamic acid,long walk,Cod liver oil,allergy shot,Daytime nap,buses,crafting,Medication,Gardening,slimfast,home alone,shopping,Zomig,not great sleep,Soy Sauce,Montelukast,no sleep,new environment,chicken wild rice soup,bubble and squeak roast,bone broth,cake,bed day,Corticosteroids,soft drink,pasta and veggies,row
,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Dicyclomine
0.0,,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Tretinoin
2.0,2.0,,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,picnic
2.0,2.0,0.0,,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,no breakfast
,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,Zantac
0.0,0.0,2.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Phyical Therapy - stretches
,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,IVIG
0.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Osteopathy
2.0,2.0,0.0,0.0,,2.0,,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,exercise
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,Pantoprazole
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,ironing
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,Went out on date
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,drank wine
0.0,0.0,2.0,2.0,,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,2.0,2.0,,2.0,0.0,2.0,,Metformin
2.0,2.0,0.0,0.0,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,physical therapy
