worn out,alone time,tired,Visited the Park,Content,home day,tavel,ice cream,walked the dog,nauseated,bored,diarrhea,holiday,faitgue,resting,coffee,stressed,trouble thinking,packing,anxiety,cleaning,Daytime nap,nausea,back to work,worried,excitement,Gentle,Took it easy,exercise,Ran Errands,row
,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,worn out
,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,alone time
0.0,0.0,,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.22044604925e-16,0.0,2.0,0.4,0.0,0.4,tired
2.0,0.0,0.4,,2.22044604925e-16,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,Visited the Park
2.0,0.0,0.4,2.22044604925e-16,,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,Content
0.0,,0.0,2.0,2.0,,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,home day
0.0,,0.0,2.0,2.0,0.0,,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,tavel
,0.0,0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,ice cream
2.0,0.0,0.4,2.22044604925e-16,2.22044604925e-16,2.0,2.0,0.0,,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,walked the dog
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,nauseated
,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,bored
2.0,0.0,0.4,2.22044604925e-16,2.22044604925e-16,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,diarrhea
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,holiday
2.0,0.0,0.4,2.22044604925e-16,2.22044604925e-16,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,2.22044604925e-16,0.0,,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,faitgue
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,resting
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,0.0,0.0,,,0.0,0.0,0.0,coffee
2.0,,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,,0.0,2.0,,,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,0.0,0.0,,0.0,stressed
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,trouble thinking
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,packing
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,,0.0,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,anxiety
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,,0.0,2.0,,0.0,0.0,2.0,2.0,,2.0,cleaning
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,,2.0,,0.0,0.0,2.0,2.0,,2.0,Daytime nap
2.0,,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,,,2.0,2.0,0.0,0.0,,0.0,nausea
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,0.0,,,0.0,0.0,0.0,back to work
0.0,0.0,2.22044604925e-16,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.4,0.0,0.4,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.4,0.0,0.4,worried
0.0,,0.0,2.0,2.0,0.0,0.0,,2.0,0.0,,2.0,,2.0,0.0,,2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,,2.0,2.0,,2.0,excitement
2.0,,2.0,0.0,0.0,2.0,2.0,,0.0,2.0,,0.0,,0.0,2.0,,0.0,,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,,0.0,,0.0,Gentle
2.0,0.0,0.4,2.22044604925e-16,2.22044604925e-16,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,,0.0,2.22044604925e-16,Took it easy
,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,0.0,0.0,,,0.0,,0.0,exercise
2.0,0.0,0.4,2.22044604925e-16,2.22044604925e-16,2.0,2.0,0.0,2.22044604925e-16,2.0,0.0,2.22044604925e-16,0.0,2.22044604925e-16,2.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.4,2.0,0.0,2.22044604925e-16,0.0,,Ran Errands
