Dicyclomine,Tretinoin,Ritalin,Tranexamic acid,gluten free diet,Phyical Therapy - stretches,Fluvoxamine,Cyclizine,Selenium,Osteopathy,Monteluklast,Burbur-Pinella,Pantoprazole,Low Dose Naltrexone,Gabapentin,Metformin,Lavender oil,Tetralabs Gold Caps CBN,Solifenacin,Hydrocortisone,Fexofenadine,Darifenacin,SAM-E,Relaxing,Zolmitriptan,digestive enzyme,Methylphenidate,Clinda-derm,Ribose,Vitamin,Epsom Salts,Ubiquinol,Feverfew,Achy breaky rub,Carbomer eye drops,alverine,N-acetyl cysteine,Tetralabs Gold Caps,Tyrosine,Piyo,Magnesium malate,Green Vibrance,Benadryl,Enada,Corticosteroids,BeachBody OnDemand,Mt. Si ACDC 2x Coco Caps,Probiotic,Cefaly Unit,Weighted Blanket,Vitamin d,TigerBalm,Topiramate,Voltaren,Ropinirole,Medication,Magnesium,Midodrine,Progesterone,Esopram,Cetraben cream,Gaba,excedrin migraine,Flexeril,Valerian,Vitamin B,CuraMed,Guarana & Ginseng,Zomig,Ginger,Montelukast,Vitamin b12,Cerelle,Butterbur,Florinef,Passionflower,Inositol,Plaquenil,row
,5.25928263824e-05,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0010748770081,,,,0.0202329709496,,,3.4289877473e-06,,,,2.0,,,,,,,,,,,0.00105394509036,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00850293357463,0.0,,,,,3.13928571293e-05,,,2.0,,,,,Dicyclomine
5.25928263824e-05,,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.00160280346877,,,,0.0223371237285,,,8.28794152177e-05,,,,2.0,,,,,,,,,,,0.00157722353769,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00988966584356,0.0,,,,,0.000165248286694,,,2.0,,,,,Tretinoin
,,,,,,,6.65682989953e-07,,,0.0,,,,,,,,0.00447309038119,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.034012879294,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0349389284096,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0349389284096,0.0,,0.0,0.0349389284096,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free diet
0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,6.65682989953e-07,,,,,,,,0.0,,,,,,,,0.00458276683829,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0343118961373,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0352419079545,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0352419079545,0.0,,0.0,0.0352419079545,,,Cyclizine
,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Selenium
0.0,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Osteopathy
,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,Monteluklast
,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Burbur-Pinella
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low Dose Naltrexone
0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,Gabapentin
0.0,0.0,,,,0.0,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,,2.0,,,,,,,,,,,0.0,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0,0.0,,,,,0.0,,,2.0,,,,,Metformin
,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Lavender oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
,,0.00447309038119,,,,,0.00458276683829,,,0.0,,,,,,,,,0.0,,0.0,0.0,,,0.0,,,0.0,,,,0.0139026345766,,0.0,0.0,,,,0.0,,,,,,0.0,,0.0145000203265,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0145000203265,0.0,,0.0,0.0145000203265,,,Solifenacin
,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,Hydrocortisone
0.0010748770081,0.00160280346877,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,,,,,0.0120089512033,,,0.000956914453764,,,,2.0,,,,,,,,,,,1.02965173387e-07,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.0035368022868,0.0,,,,,0.00073894987947,,,2.0,,,,,Fexofenadine
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,Darifenacin
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,SAM-E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
0.0202329709496,0.0223371237285,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.0120089512033,,,,,,,0.0197122060542,,,,2.0,,,,,,,,,,,0.0120791693814,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00251966014559,0.0,,,,,0.0186778721463,,,2.0,,,,,Zolmitriptan
,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylphenidate
3.4289877473e-06,8.28794152177e-05,,,,0.0,,,,0.0,,,,,0.0,0.0,,,,,0.000956914453764,,,,0.0197122060542,,,,,,,2.0,,,,,,,,,,,0.00093716972956,0.0,0.0,,,,,,2.0,,,,,0.0,,,0.0,,,,,2.0,0.00816555519318,0.0,,,,,1.40714265583e-05,,,2.0,,,,,Clinda-derm
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,Ribose
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,0.0,,,,,,,,,,,,,,,Vitamin
,,,,,,,,0.0,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,Epsom Salts
2.0,2.0,,,,2.0,,,,2.0,,,,,,2.0,,,,,2.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,,,,,0.0,,,,,2.0,,,2.0,,,,,0.0,2.0,2.0,,,,,2.0,,,0.0,,,,,Ubiquinol
,,0.034012879294,,,,,0.0343118961373,,,0.0,,,,,,,,0.0139026345766,0.0,,0.0,0.0,,,0.0,,,0.0,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,6.32794823807e-06,,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,0.0,,6.32794823807e-06,0.0,,0.0,6.32794823807e-06,,,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,0.0,,,,,0.0,,,0.0,,,,,,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,,0.0,0.0,,,0.0,,,Carbomer eye drops
