Coffee,Aloe Detox Water,Vitamins,Trigger Points,Medical Marijuana,Diphenhydramine,Daily walk,Essential oils,Weather- rain,Magnesium,Lexam,Meditation,Extra Medications,Sisu B Calm,massage,Turmeric,row
,0.0,0.0,,0.0,,0.0,2.0,0.0,,,0.0,2.0,,2.0,0.0,Coffee
0.0,,0.0,,0.0,,0.0,2.0,0.0,,,0.0,2.0,,2.0,0.0,Aloe Detox Water
0.0,0.0,,,0.0,,0.0,2.0,0.0,,,0.0,2.0,,2.0,0.0,Vitamins
,,,,,,,,,,,,,2.0,,,Trigger Points
0.0,0.0,0.0,,,,0.0,2.0,0.0,,,0.0,2.0,,2.0,0.0,Medical Marijuana
,,,,,,,,,,,,,,,,Diphenhydramine
0.0,0.0,0.0,,0.0,,,2.0,0.0,,,0.0,2.0,,2.0,0.0,Daily walk
2.0,2.0,2.0,,2.0,,2.0,,2.0,,,2.0,0.0,,0.0,2.0,Essential oils
0.0,0.0,0.0,,0.0,,0.0,2.0,,,,0.0,2.0,,2.0,0.0,Weather- rain
,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,Lexam
0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,,,,2.0,,2.0,0.0,Meditation
2.0,2.0,2.0,,2.0,,2.0,0.0,2.0,,,2.0,,,0.0,2.0,Extra Medications
,,,2.0,,,,,,,,,,,,,Sisu B Calm
2.0,2.0,2.0,,2.0,,2.0,0.0,2.0,,,2.0,0.0,,,2.0,massage
0.0,0.0,0.0,,0.0,,0.0,2.0,0.0,,,0.0,2.0,,2.0,,Turmeric
