Triamcinolone Lotion,Humira,Prednisone,Neti Pot,Fish oil,hydrocortisone suppository ,Flonase,Vitamin C,Iron,Lexam,Inflamma-blox,Triamcinolone Cream,row
,2.0,2.0,,,,0.0,0.0,2.0,,0.0,2.0,Triamcinolone Lotion
2.0,,0.0542275482324,0.0,0.0,0.0,0.50099308822,0.495929741783,0.00227563403495,,2.0,0.0243097313668,Humira
2.0,0.0542275482324,,0.0,0.0,0.0,0.809549960245,0.80380769596,0.0782813378764,,2.0,0.00603123092392,Prednisone
,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,Neti Pot
,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,Fish oil
,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,hydrocortisone suppository 
0.0,0.50099308822,0.809549960245,0.0,0.0,0.0,,1.71268895744e-05,0.443698538758,,0.0,0.703042278758,Flonase
0.0,0.495929741783,0.80380769596,0.0,0.0,0.0,1.71268895744e-05,,0.438844629982,,0.0,0.697458726222,Vitamin C
2.0,0.00227563403495,0.0782813378764,0.0,0.0,0.0,0.443698538758,0.438844629982,,,2.0,0.04130644075,Iron
,,,,,,,,,,,,Lexam
0.0,2.0,2.0,,,,0.0,0.0,2.0,,,2.0,Inflamma-blox
2.0,0.0243097313668,0.00603123092392,0.0,0.0,0.0,0.703042278758,0.697458726222,0.04130644075,,2.0,,Triamcinolone Cream
