ate well,Nasal spray,Superlong nap,Ate healthy,lots of walking,Contraceptive pill,Lymphatic massage,shopping,Valcyte,Selenium,Vitamin C,nap,had sex,Levothyroxine,Gardening,Valtrex,ate breakfast,Multi-vitamin,row
,,0.0,0.0,0.0,,2.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,2.0,,ate well
,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,Nasal spray
0.0,,,0.0,0.0,,2.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,2.0,,Superlong nap
0.0,,0.0,,0.0,,2.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,2.0,,Ate healthy
0.0,,0.0,0.0,,,2.0,0.0,0.0,,,0.0,2.0,,0.0,0.0,2.0,,lots of walking
,0.0,,,,,,,,0.0,0.0,,,0.0,,,,0.0,Contraceptive pill
2.0,,2.0,2.0,2.0,,,2.0,2.0,,,2.0,0.0,,2.0,2.0,0.0,,Lymphatic massage
0.0,,0.0,0.0,0.0,,2.0,,0.0,,,0.0,2.0,,0.0,0.0,2.0,,shopping
0.0,,0.0,0.0,0.0,,2.0,0.0,,,,0.0,2.0,,0.0,0.0,2.0,,Valcyte
,0.0,,,,0.0,,,,,1.03068070784e-05,,,1.26264922936e-05,,,,0.0,Selenium
,0.0,,,,0.0,,,,1.03068070784e-05,,,,1.17619456952e-07,,,,0.0,Vitamin C
0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,,2.0,,0.0,0.0,2.0,,nap
2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,,2.0,,,2.0,2.0,0.0,,had sex
,0.0,,,,0.0,,,,1.26264922936e-05,1.17619456952e-07,,,,,,,0.0,Levothyroxine
0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,0.0,2.0,,,0.0,2.0,,Gardening
0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,,,0.0,2.0,,0.0,,2.0,,Valtrex
2.0,,2.0,2.0,2.0,,0.0,2.0,2.0,,,2.0,0.0,,2.0,2.0,,,ate breakfast
,0.0,,,,0.0,,,,0.0,0.0,,,0.0,,,,,Multi-vitamin
