Yoga,Iron,gluten free diet,Fluvoxamine,mountain biking,Exercise,Tyrosine,alcohol free,Prednisone,Methylphenidate,Neti Pot,Flonase,excedrin migraine,Topiramate,Plaquenil,Humira,Chiropractic,Vitamin C,Voltaren,Ropinirole,Midodrine,Tavegyl,Mangosteen,Swimming,Love,Triamcinolone Cream,Fish oil,hydrocortisone suppository ,Ultrasound,Vitamin d,Magnesium,row
,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Yoga
,,,,,,,,2.0,,0.0,0.0,,,,0.0,,0.0,,,,,,,,2.0,2.0,2.0,,,,Iron
0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,gluten free diet
0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Fluvoxamine
0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,mountain biking
0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Exercise
0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Tyrosine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,alcohol free
,2.0,,,,,,,,,2.0,2.0,,,,2.0,,2.0,,,,,,,,0.0,0.0,0.0,,,,Prednisone
0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Methylphenidate
,0.0,,,,,,,2.0,,,0.0,,,,0.0,,0.0,,,,,,,,2.0,2.0,2.0,,,,Neti Pot
,0.0,,,,,,,2.0,,0.0,,,,,0.0,,0.0,,,,,,,,2.0,2.0,2.0,,,,Flonase
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Topiramate
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Plaquenil
,0.0,,,,,,,2.0,,0.0,0.0,,,,,,0.0,,,,,,,,2.0,2.0,2.0,,,,Humira
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Chiropractic
,0.0,,,,,,,2.0,,0.0,0.0,,,,0.0,,,,,,,,,,2.0,2.0,2.0,,,,Vitamin C
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,Voltaren
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,,,0.0,,0.0,Ropinirole
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,,,,0.0,,0.0,Midodrine
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,,,0.0,,,,0.0,,0.0,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mangosteen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swimming
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,,0.0,Love
,2.0,,,,,,,0.0,,2.0,2.0,,,,2.0,,2.0,,,,,,,,,0.0,0.0,,,,Triamcinolone Cream
,2.0,,,,,,,0.0,,2.0,2.0,,,,2.0,,2.0,,,,,,,,0.0,,0.0,,,,Fish oil
,2.0,,,,,,,0.0,,2.0,2.0,,,,2.0,,2.0,,,,,,,,0.0,0.0,,,,,hydrocortisone suppository 
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,0.0,Ultrasound
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,,Magnesium
