Maxalt,Yoga,Prednisone,Cefaly Unit,Seasonique,Lidocaine Patch,Cane to get down stairs,Vicodin,Ibuprofen,massage,row
,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Maxalt
2.0,,2.22044604925e-16,0.0,0.0,2.0,2.0,2.22044604925e-16,1.11022302463e-16,0.0,Yoga
2.0,2.22044604925e-16,,0.0,0.0,2.0,2.0,1.11022302463e-16,2.22044604925e-16,3.33066907388e-16,Prednisone
2.0,0.0,0.0,,,2.0,,0.0,0.0,0.0,Cefaly Unit
2.0,0.0,0.0,,,,2.0,0.0,0.0,0.0,Seasonique
0.0,2.0,2.0,2.0,,,,2.0,2.0,2.0,Lidocaine Patch
0.0,2.0,2.0,,2.0,,,2.0,2.0,2.0,Cane to get down stairs
2.0,2.22044604925e-16,1.11022302463e-16,0.0,0.0,2.0,2.0,,2.22044604925e-16,2.22044604925e-16,Vicodin
2.0,1.11022302463e-16,2.22044604925e-16,0.0,0.0,2.0,2.0,2.22044604925e-16,,3.33066907388e-16,Ibuprofen
2.0,0.0,3.33066907388e-16,0.0,0.0,2.0,2.0,2.22044604925e-16,3.33066907388e-16,,massage
