Contraceptive pill,Bicarb on scalp,honey,Omeprazole,tavel,ate breakfast,Iberogast,Charcoal,hiking,excerise,met a new cat,dairy,L-theanine,Sleep,rice,Inolaxol,catered food,coffee,sugar yesterday,Inderal,Superlong nap,Probiotics,l-theanine,Low-FODMAP diet,beans,Oxycodone,Onions,drank a lot,Multi-vitamin,row
,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Contraceptive pill
0.0,,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Bicarb on scalp
,,,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,honey
0.0,0.0,,,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Omeprazole
,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,tavel
,,0.0,,2.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,ate breakfast
0.0,0.0,,0.0,,,,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Iberogast
0.0,0.0,,0.0,,,0.0,,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Charcoal
,,0.0,,,0.0,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,hiking
,,0.0,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,excerise
,,0.0,,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,met a new cat
,,0.0,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,dairy
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,L-theanine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,rice
0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,,2.0,,,0.0,,0.0,,0.0,,,,,0.0,Inolaxol
2.0,2.0,,2.0,,,2.0,2.0,,,,,,,,2.0,,,,2.0,,2.0,,2.0,,,,,2.0,catered food
,,,,2.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,coffee
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,0.0,,0.0,,0.0,,0.0,0.0,,sugar yesterday
0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,,,0.0,,0.0,,,,,0.0,Inderal
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,0.0,0.0,,Superlong nap
0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,,,0.0,,,,,0.0,Probiotics
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,l-theanine
0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,,,,,,0.0,Low-FODMAP diet
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,,beans
,,,,2.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,,,Oxycodone
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,,0.0,,Onions
,,0.0,,,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,drank a lot
0.0,0.0,,0.0,,,0.0,0.0,,,,,,,,0.0,2.0,,,0.0,,0.0,,0.0,,,,,,Multi-vitamin
