Walking,Vitamin D3,Medications,Chiropractic,physical therapy,Vitamin d,SAD Light Box,Vitamin C,Coenzyme q-10,Medication,Dermatologist,Amitriptyline,Yoga,counselor,neuro,Exercise,psychiatrists,row
,,2.0,2.0,2.0,0.0,,,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,Walking
,,,,,,0.0,0.0,,,,0.0,,,,,,Vitamin D3
2.0,,,0.0,0.0,2.0,,,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,Medications
2.0,,0.0,,0.0,2.0,,,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,Chiropractic
2.0,,0.0,0.0,,2.0,,,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,physical therapy
0.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,Vitamin d
,0.0,,,,,,0.0,,,,0.0,,,,,,SAD Light Box
,0.0,,,,,0.0,,,,,0.0,,,,,,Vitamin C
0.0,,2.0,2.0,2.0,0.0,,,,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,Coenzyme q-10
2.0,,0.0,0.0,0.0,2.0,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,Medication
0.0,,2.0,2.0,2.0,0.0,,,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,Dermatologist
,0.0,,,,,0.0,0.0,,,,,,,,,,Amitriptyline
2.0,,0.0,0.0,0.0,2.0,,,2.0,0.0,2.0,,,0.0,2.0,0.0,2.0,Yoga
2.0,,0.0,0.0,0.0,2.0,,,2.0,0.0,2.0,,0.0,,2.0,0.0,2.0,counselor
0.0,,2.0,2.0,2.0,0.0,,,0.0,2.0,0.0,,2.0,2.0,,2.0,0.0,neuro
2.0,,0.0,0.0,0.0,2.0,,,2.0,0.0,2.0,,0.0,0.0,2.0,,2.0,Exercise
0.0,,2.0,2.0,2.0,0.0,,,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,psychiatrists
