hand and face physio only,read book,laundry,hiking,had sex ,stretching,cuddles!,vacuuming,washing up,cooked,blowjob,had sex,Ibuprofen,paperwork,fuck yeah avocado,had sex last night,row
,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,hand and face physio only
2.0,,2.0,,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,read book
0.0,2.0,,,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,laundry
,,,,,0.0,,,,,,0.0,,,,,hiking
2.0,0.0,2.0,,,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,had sex 
,,,0.0,,,,,,,,0.0,,,,,stretching
0.0,2.0,0.0,,2.0,,,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,cuddles!
0.0,2.0,0.0,,2.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,vacuuming
2.0,0.0,2.0,,0.0,,2.0,2.0,,0.0,2.0,0.0,2.0,2.0,0.0,2.0,washing up
2.0,0.0,2.0,,0.0,,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,cooked
0.0,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,blowjob
2.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,,2.0,2.0,0.0,2.0,had sex
0.0,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,,0.0,2.0,0.0,Ibuprofen
0.0,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,,2.0,0.0,paperwork
2.0,0.0,2.0,,0.0,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,,2.0,fuck yeah avocado
0.0,2.0,0.0,,2.0,,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,had sex last night
