hand and face physio only,read book,laundry,hiking,had sex ,stretching,cuddles!,vacuuming,washing up,cooked,blowjob,had sex,Ibuprofen,paperwork,fuck yeah avocado,had sex last night,row
,,,,,,,,,,,,,,,,hand and face physio only
,,,,,,,,,,,,,,,,read book
,,,,,,,,,,,,,,,,laundry
,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,had sex 
,,,,,,,,,,,,,,,,stretching
,,,,,,,,,,,,,,,,cuddles!
,,,,,,,,,,,,,,,,vacuuming
,,,,,,,,,,,,,,,,washing up
,,,,,,,,,,,,,,,,cooked
,,,,,,,,,,,,,,,,blowjob
,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,paperwork
,,,,,,,,,,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,had sex last night
