Anxious,pain,alcohol,physical therapy,travel,period,rain,dehydrated,sick,had sex,feel hot,Zopiclone,stressed,sinus,Went to hospital,row
,2.0,0.0,,2.0,2.0,,,2.0,,,,2.0,2.0,,Anxious
2.0,,2.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,pain
0.0,2.0,,,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,1.75123964898,2.0,0.0,alcohol
,,,,,,,,,,,,,,,physical therapy
2.0,0.0,2.0,,,0.0,,,0.0,,,,0.0,0.0,,travel
2.0,0.0,2.0,,0.0,,,,0.0,,,,0.0,0.0,,period
,,0.0,,,,,0.0,,0.0,2.0,2.0,0.0,,0.0,rain
,,0.0,,,,0.0,,,0.0,2.0,2.0,0.0,,0.0,dehydrated
2.0,0.0,2.0,,0.0,0.0,,,,,,,0.0,0.0,,sick
,,0.0,,,,0.0,0.0,,,2.0,2.0,0.0,,0.0,had sex
,,2.0,,,,2.0,2.0,,2.0,,0.0,2.0,,2.0,feel hot
,,2.0,,,,2.0,2.0,,2.0,0.0,,2.0,,2.0,Zopiclone
2.0,0.0,1.75123964898,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,stressed
2.0,0.0,2.0,,0.0,0.0,,,0.0,,,,0.0,,,sinus
,,0.0,,,,0.0,0.0,,0.0,2.0,2.0,0.0,,,Went to hospital
