Medications,Yoga,physical therapy,Toprol,breakfast,ate breakfast,yoga,grocery shopping,glutened,did 7 mins of exercise   woohoo,housework,Netflix day,Dermatologist,worked in garden,exercise,Stayed in bed all day,Chiropractic,Superlong nap,neuro,psychiatrists,Exercise,Walking,Medication,Slept most of the day,Coenzyme q-10,Vitamin d,counselor,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,Medications
,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,,,breakfast
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,yoga
,,,,,,,,,,,,,,,,,,,,,,,,,,,grocery shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,glutened
,,,,,,,,,,,,,,,,,,,,,,,,,,,did 7 mins of exercise   woohoo
,,,,,,,,,,,,,,,,,,,,,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
,,,,,,,,,,,,,,,,,,,,,,,,,,,Dermatologist
,,,,,,,,,,,,,,,,,,,,,,,,,,,worked in garden
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,Stayed in bed all day
,,,,,,,,,,,,,,,,,,,,,,,,,,,Chiropractic
,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,neuro
,,,,,,,,,,,,,,,,,,,,,,,,,,,psychiatrists
,,,,,,,,,,,,,,,,,,,,,,,,,,,Exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,Walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,Slept most of the day
,,,,,,,,,,,,,,,,,,,,,,,,,,,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,,,,,,,,,,counselor
