hand and face physio only,read book,laundry,had sex ,cuddles!,vacuuming,washing up,cooked,blowjob,had sex,Ibuprofen,paperwork,fuck yeah avocado,had sex last night,row
,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,hand and face physio only
2.0,,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,read book
0.0,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,laundry
2.0,0.0,2.0,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,had sex 
2.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,cuddles!
0.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,vacuuming
2.0,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,0.0,washing up
0.0,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,cooked
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,blowjob
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,2.0,had sex
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,0.0,Ibuprofen
0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,paperwork
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,0.0,fuck yeah avocado
2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,,had sex last night
