Nasal spray,Azathioprine,Contraceptive pill,Ibuprofen 600mg,Citalopram,Pentasa,Selenium,Vitamin C,physical therapy,co-tenidone,Levothyroxine,Excedrin,Multi-vitamin,row
,,,,,,,,,,,,,Nasal spray
,,,,,,,,,,,,,Azathioprine
,,,,,,,,,,,,,Contraceptive pill
,,,,,,,,,,,,,Ibuprofen 600mg
,,,,,,,,,,,,,Citalopram
,,,,,,,,,,,,,Pentasa
,,,,,,,1.0,,,1.0,,,Selenium
,,,,,,1.0,,,,1.0,,,Vitamin C
,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,co-tenidone
,,,,,,1.0,1.0,,,,,,Levothyroxine
,,,,,,,,,,,,,Excedrin
,,,,,,,,,,,,,Multi-vitamin
