Acetyl Carnitine,Lithium,Soluble Aspirin,N-Acelcysteine,Creatine,Clonazepam,Ecural,Synthroid,Magnesium gel,Dexedrine,Ranitidine,Probiotic,Codeine,antihistamines,Physiotherapy,linseed,Adderall,Panamax,Fish oil,Standing desk,Mezavant,Nortriptyline
,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0
0.0,,0.0,0.0,1.11022302463e-16,1.11022302463e-16,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.11022302463e-16
0.0,0.0,,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0
0.0,0.0,0.0,,0.0,0.0,,,,,,,,0.0,,,,0.0,,,,0.0
0.0,1.11022302463e-16,0.0,0.0,,1.11022302463e-16,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.11022302463e-16
0.0,1.11022302463e-16,0.0,0.0,1.11022302463e-16,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.11022302463e-16
,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,0.0,0.0,0.0,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,,,,,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0
,0.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,0.0
0.0,1.11022302463e-16,0.0,0.0,1.11022302463e-16,1.11022302463e-16,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
