Wear shoulder brace,Lying flat,Low dose pain meds,More stretching,Hydroxyzine,Acetyl Carnitine,Protecting back,Ambien CR,Miralax low dose at night,Lithium,Magnesium gel,N-Acelcysteine,Creatine,Clonazepam,Zofran,Ecural,Soluble Aspirin,gluten free,dairy free,Oxynorm,antihistamines,Physiotherapy,heating pads,linseed,Norco,Panamax,Freezie wrap,Nortriptyline,Sleep,Standing desk,cocodamol,drawing,row
,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,Wear shoulder brace
0.0,,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,Lying flat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low dose pain meds
0.0,0.0,,,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,More stretching
0.0,0.0,,0.0,,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,Hydroxyzine
,,,,,,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,0.0,,,,,2.0,,2.0,,,,,Acetyl Carnitine
2.0,2.0,,2.0,2.0,,,2.0,0.0,,,,,,2.0,,,2.0,2.0,2.0,,,2.0,,2.0,,2.0,,,,2.0,2.0,Protecting back
0.0,0.0,,0.0,0.0,,2.0,,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,Ambien CR
2.0,2.0,,2.0,2.0,,0.0,2.0,,,,,,,2.0,,,2.0,2.0,2.0,,,2.0,,2.0,,2.0,,,,2.0,2.0,Miralax low dose at night
,,,,,2.0,,,,,0.0,0.0,1.99969680615,8.01057396986e-05,,2.0,0.0,,,,2.0,0.0,,0.0,,0.0,,0.292893218813,,2.0,,,Lithium
,,,,,,,,,0.0,,,2.0,0.0,,2.0,,,,,,0.0,,0.0,,,,,,2.0,,,Magnesium gel
,,,,,2.0,,,,0.0,,,2.0,0.0,,,0.0,,,,2.0,,,,,0.0,,0.0,,,,,N-Acelcysteine
,,,,,0.0,,,,1.99969680615,2.0,2.0,,1.99930506518,,0.0,2.0,,,,0.0,2.0,,2.0,,2.0,,1.72430353339,,0.0,,,Creatine
,,,,,2.0,,,,8.01057396986e-05,0.0,0.0,1.99930506518,,,2.0,0.0,,,,2.0,0.0,,0.0,,0.0,,0.30189986387,,2.0,,,Clonazepam
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,Zofran
,,,,,,,,,2.0,2.0,,0.0,2.0,,,,,,,,2.0,,2.0,,,,,,0.0,,,Ecural
,,,,,2.0,,,,0.0,,0.0,2.0,0.0,,,,,,,2.0,,,,,0.0,,0.0,,,,,Soluble Aspirin
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,gluten free
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,,0.0,,,0.0,,0.0,,0.0,,,,0.0,0.0,dairy free
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,Oxynorm
,,,,,0.0,,,,2.0,,2.0,0.0,2.0,,,2.0,,,,,,,,,2.0,,2.0,,,,,antihistamines
,,,,,,,,,0.0,0.0,,2.0,0.0,,2.0,,,,,,,,0.0,,,,,,2.0,,,Physiotherapy
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,,,0.0,,0.0,,,,0.0,0.0,heating pads
,,,,,,,,,0.0,0.0,,2.0,0.0,,2.0,,,,,,0.0,,,,,,,,2.0,,,linseed
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,,,0.0,,,,0.0,0.0,Norco
,,,,,2.0,,,,0.0,,0.0,2.0,0.0,,,0.0,,,,2.0,,,,,,,0.0,,,,,Panamax
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,,,,,0.0,0.0,Freezie wrap
,,,,,2.0,,,,0.292893218813,,0.0,1.72430353339,0.30189986387,,,0.0,,,,2.0,,,,,0.0,,,,,,,Nortriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep
,,,,,,,,,2.0,2.0,,0.0,2.0,,0.0,,,,,,2.0,,2.0,,,,,,,,,Standing desk
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,,0.0,cocodamol
0.0,0.0,,0.0,0.0,,2.0,0.0,2.0,,,,,,0.0,,,0.0,0.0,0.0,,,0.0,,0.0,,0.0,,,,0.0,,drawing
