Codeine-Panadol,Alcohol,physical therapy,Sunlight,Zoladex,Iron,Spironolactone,Ambien CR,Magnesium glycinate,5-htp,Nasonex,Claritin,Strattera,eye drops,Zofran,Hydroxyzine,Vitamin a,eye ointment,Buspirone,meds,Famotidine,Aspirin,Vitamin b complex,strapping of shoulder,Ventolin,Antihistamine,Codeine,Astelin,Vitamin C,Vitamin B,Temazepam,heating pads,eye compress,Norco,Flutiform,Boswelia Complex,THC,pool,Allegra,Klonopin,CBD,Singulair,Fish oil,stool softener,Rest,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Probiotics,Melatonin,Magnesium,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Codeine-Panadol
,,0.0,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,Alcohol
,0.0,,2.0,,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,physical therapy
,2.0,2.0,,,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Sunlight
,,,,,,0.0,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Zoladex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iron
,,,,0.0,,,,,,0.0,,,,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Spironolactone
,0.0,0.0,2.0,,,,,2.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,,0.0,2.0,,2.0,0.0,,,,2.0,2.0,,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,,2.0,,Ambien CR
,2.0,2.0,0.0,,,,2.0,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Magnesium glycinate
,2.0,2.0,0.0,,,,2.0,0.0,,0.0,0.0,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,5-htp
,2.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,2.0,2.0,1.27010551755,2.0,,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,,2.0,2.0,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Nasonex
,2.0,2.0,0.0,,,,2.0,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,,2.0,,2.0,0.0,,0.0,2.0,,,,0.0,0.0,,,2.0,2.0,2.0,,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,2.0,,0.0,,Claritin
