Contraceptive pill,Hemorrhoid Cream,Bicarb on scalp,Omeprazole,8 hours of sleep,Iberogast,Charcoal,Prednisone,Ocella,Flonase,Low-FODMAP diet,Inolaxol,Humira,Neti Pot,Inderal,Stretching,Vitamin C,Probiotics,Iron,Triamcinolone Cream,Fish oil,Zomig,hydrocortisone suppository ,Sleep,Multi-vitamin,row
,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Contraceptive pill
,,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,Hemorrhoid Cream
0.0,,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Bicarb on scalp
0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Omeprazole
,,,,,,,,,,,,,,,,,,,,,,,2.0,,8 hours of sleep
0.0,,0.0,0.0,,,0.0,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Iberogast
0.0,,0.0,0.0,,0.0,,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Charcoal
,0.0,,,,,,,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,Prednisone
,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,Ocella
,0.0,,,,,,0.0,0.0,,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,Flonase
0.0,,0.0,0.0,,0.0,0.0,,,,,0.0,,,0.0,2.0,,0.0,,,,,,,0.0,Low-FODMAP diet
0.0,,0.0,0.0,,0.0,0.0,,,,0.0,,,,0.0,2.0,,0.0,,,,,,,0.0,Inolaxol
,0.0,,,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,Humira
,0.0,,,,,,0.0,0.0,0.0,,,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,,,Neti Pot
0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,,2.0,,0.0,,,,,,,0.0,Inderal
2.0,,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,2.0,,,2.0,,,,,,,2.0,Stretching
,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0,0.0,,0.0,,,Vitamin C
0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,0.0,Probiotics
,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0,0.0,,0.0,,,Iron
,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,0.0,,,Triamcinolone Cream
,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,,,0.0,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,0.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,hydrocortisone suppository 
,,,,2.0,,,,,,,,,,,,,,,,,,,,,Sleep
0.0,,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,2.0,,0.0,,,,,,,,Multi-vitamin
