Diazepam,Wore arch supports all day,Topical ibuprofen,Stretching,Cranberry extract,Naproxen,Toprol,5 or more portions of fruit and veg,Meditation,cocodamol,row
,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Diazepam
0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,Wore arch supports all day
0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,Topical ibuprofen
0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,Stretching
0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,Cranberry extract
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,Naproxen
,,,,,,,,,,Toprol
0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,5 or more portions of fruit and veg
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,Meditation
0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,cocodamol
