Coffee,Aloe Detox Water,Vitamins,Medical Marijuana,Multivitamin,Fluids,Daily walk,Essential oils,Weather- rain,Exercise--walking,Iron,Vitamin d,Amitriptyline,Therapy,Meditation,Extra Medications,massage,Turmeric,row
,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0,Coffee
0.0,,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0,Aloe Detox Water
0.0,0.0,,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0,Vitamins
0.0,0.0,0.0,,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,0.0,2.0,Medical Marijuana
,,,,,,,,,,0.0,0.0,,,,,,,Multivitamin
2.0,2.0,2.0,2.0,,,0.0,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0,Fluids
2.0,2.0,2.0,2.0,,0.0,,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0,Daily walk
2.0,2.0,2.0,2.0,,0.0,0.0,,2.0,0.0,,,,0.0,2.0,2.0,2.0,0.0,Essential oils
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,0.0,2.0,Weather- rain
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,,,,,0.0,2.0,2.0,2.0,0.0,Exercise--walking
,,,,0.0,,,,,,,0.0,,,,,,,Iron
,,,,0.0,,,,,,0.0,,,,,,,,Vitamin d
,,,,,,,,,,,,,,,,,,Amitriptyline
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,Therapy
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,,0.0,0.0,2.0,Meditation
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,,0.0,2.0,Extra Medications
0.0,0.0,0.0,0.0,,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,0.0,,2.0,massage
2.0,2.0,2.0,2.0,,0.0,0.0,0.0,2.0,0.0,,,,0.0,2.0,2.0,2.0,,Turmeric
