Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,Cold Pack,Florinef,ate breakfast,Solifenacin,busy,Prednisolone,Vitamin b12,Ingefära,Fludrocortisone,Feverfew,woke up late,dairy,Piyo,A little stressed,shopping,Probiotic,Superlong nap,very active aqua class,TigerBalm,scary new shit,day at home,Passionflower,long shopping  trip,Methylprednisolone,Ginger,Hydrocortisone,digestive enzyme,had sex,PeaPure,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,0.0,,,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,physical therapy
,0.0,,0.0,,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,snuggles
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,2.0,,2.0,2.0,,,,2.0,,2.0,0.0,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Florinef
,0.0,,0.0,0.0,,,2.0,,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,0.0,,0.0,0.0,,,2.0,0.0,,,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,busy
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,,,,0.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Prednisolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ingefära
,2.0,,2.0,2.0,,,0.0,2.0,,2.0,0.0,,,,,2.0,2.0,,2.0,2.0,,2.0,2.0,,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,woke up late
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,,,0.0,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,dairy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,A little stressed
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,,,0.0,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,shopping
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
,0.0,,0.0,0.0,,,2.0,0.0,,0.0,2.0,,,2.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,Superlong nap
