Dicyclomine,Tretinoin,Phyical Therapy - stretches,Caffeine,Osteopathy,Pantoprazole,Glutamine,Metformin,Spasfon,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Uncooked cornstarch,Dexedrine,Benadryl,Enada,Progesterone,Vitamin B,Vitamin b6,Tranexamic acid,Gabapentin,Medication,Duexis,excedrin migraine,Zomig,Montelukast,Heating Pad,cocodamol,Corticosteroids,row
,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,Dicyclomine
1.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,Tretinoin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
,,,,,,,,,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,Glutamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spasfon
1.0,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,Zolmitriptan
1.0,1.0,,,,,,,,1.0,,1.0,,,1.0,,,,1.0,,,,,,,,,,,1.0,,,,Clinda-derm
,,,,,,-1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,Ubiquinol
1.0,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uncooked cornstarch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
1.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,,,,,,,,,,,,1.0,,,,Benadryl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Enada
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin B
,,,,,,-1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,Vitamin b6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Medication
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Duexis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
1.0,1.0,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,Montelukast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Heating Pad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corticosteroids
