Social interactions,Sertraline,SAD Light Box,Allopurinol,Sleep,Vicodin,Hobbies,catheter,distraction,Exercise,Mirtazapine,row
,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,Social interactions
0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,Sertraline
0.0,0.0,,,0.0,,0.0,,0.0,0.0,0.0,SAD Light Box
,,,,,0.0,,,,,,Allopurinol
0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,Sleep
,,,0.0,,,,,,,,Vicodin
0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.0,Hobbies
,,,,,,,,,,,catheter
0.0,0.0,0.0,,0.0,,0.0,,,0.0,0.0,distraction
0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,Exercise
0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,,Mirtazapine
