Medications,Yoga,hiking,Cod liver oil,physical therapy,IVIG,long sleep,listen to music ,housework,had sex,Acetaminophen,Amitriptyline,Metformin,Dogs,Exercise,Vitamin d,afternoon coffee,Vitamin D3,yoga,lots of walking,good breakfast,busy,mag ox,travel,Zantac,went swimming,Synthroid,day at home,severe pain,allergy shot,gaming,Trileptal,ate breakfast,Psyllium husk,worked in garden,dairy,woke up late,banana,exercise,depo-provera shot,Multi vitamin,Dermatologist,Stayed in bed all day,Superlong nap,shopping,large breakfast,Off work,Chiropractic,ate gluten,Ligament Restore,coursera,cigarettes,Vitamin C,Medication,Slept most of the day,worked,Late lunch,Wellbutrin,psychiatrists,neck massage,Walking,Flexeril,neuro,Quell Unit,home alone,healthy dinner,did 7 mins of exercise   woohoo,new environment,Thyroid-Pro,grocery shopping,Marijuana,walked,windsurfing,Montelukast,cooked,Coenzyme q-10,slept in,Lyrica,made challah,Ibuprofen,cake,Breakfast,counselor,pasta and veggies,massage,row
,0.0,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Medications
0.0,,,,0.0,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,Yoga
,,,,,,,,0.0,0.0,2.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,hiking
,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,Cod liver oil
0.0,0.0,,,,,,,2.0,,,,,,0.0,0.0,,,2.0,,,,,,,,,,,,,,2.0,,2.0,,,,2.0,,,0.0,2.0,,,,,0.0,,,,,,0.0,2.0,,,,0.0,,0.0,,0.0,,,,2.0,,,2.0,,,,,,0.0,,,,,,,0.0,,,physical therapy
,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,2.0,,IVIG
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,2.0,2.0,,,,,2.0,0.0,2.0,,,,0.0,,,,,,,,,,,,,0.0,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,2.0,,,,,,,,long sleep
,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,listen to music 
2.0,2.0,0.0,,2.0,,,,,0.0,2.0,,,,2.0,2.0,,,0.0,0.0,,,,0.0,,,,,,,,,0.0808695066054,,0.0,,,,0.0,,,2.0,0.0,0.0,,,,2.0,,,,,,2.0,0.0,,,,2.0,0.0,2.0,,2.0,,,,0.0,,,0.0,,,,,,2.0,,,,2.0,,,2.0,,,housework
,,0.0,,,,,,0.0,,2.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,had sex
,,2.0,,,,,,2.0,2.0,,,,,,,,,,2.0,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,Acetaminophen
,,,,,,,,,,,,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,2.0,,,,,,,,,,,2.0,,,,,2.0,,,,0.0,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,Amitriptyline
