Caffeine,Synthroid,Aromatherapy,Lithium,Magnesium gel,Prednisolone,Low oxalate,Clonazepam,Ecural,Tylenol 3,gluten free,7-keto-dhea,Snooze,DEHA,linseed,Methylcobalamine,Ranitidine,Probiotic,Trigger Points,Escitalopram,Physiotherapy,Magnesium,Tavegyl,rebounding,Klonopin,Snacks,LUSH acne spot-treatment,Creatine,Vitamin b12,Cannabis,Veggies,Standing desk,Vitamin d,Nortriptyline,Mezavant,Fish oil,massage,Lamictal,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Synthroid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aromatherapy
,0.0,,,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Lithium
,0.0,,0.0,,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Magnesium gel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisolone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Low oxalate
,0.0,,0.0,0.0,,,,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Clonazepam
,2.0,,2.0,2.0,,,2.0,,,,,,,0.0,,2.0,2.0,,,0.0,,,,,,,2.0,,,,2.0,,2.0,2.0,2.0,,,Ecural
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tylenol 3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gluten free
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7-keto-dhea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snooze
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,2.0,,2.0,2.0,,,2.0,0.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,2.0,,,,2.0,,2.0,2.0,2.0,,,linseed
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Ranitidine
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,0.0,,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trigger Points
,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Escitalopram
,2.0,,2.0,2.0,,,2.0,0.0,,,,,,0.0,,2.0,2.0,,,,,,,,,,2.0,,,,2.0,,2.0,2.0,2.0,,,Physiotherapy
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,Magnesium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tavegyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rebounding
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,Klonopin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Snacks
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LUSH acne spot-treatment
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,,,,,0.0,,0.0,0.0,0.0,,,Creatine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veggies
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,Standing desk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,,0.0,0.0,,,Nortriptyline
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,,0.0,,,Mezavant
,0.0,,0.0,0.0,,,0.0,2.0,,,,,,2.0,,0.0,0.0,,,2.0,,,,,,,0.0,,,,0.0,,0.0,0.0,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,massage
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Lamictal
