Went to work,hungry but not hungry?,busy,stressful,exhausted,Cranky,Tiring,bad sleep,productive,stressed,Foggy,grumpy,row
,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,Went to work
0.0,,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,hungry but not hungry?
2.0,2.0,,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,busy
2.0,2.0,0.0,,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,stressful
2.0,2.0,0.0,0.0,,2.0,0.0,2.0,0.0,2.0,0.0,2.0,exhausted
0.0,0.0,2.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,0.0,Cranky
2.0,2.0,0.0,0.0,0.0,2.0,,2.0,0.0,2.0,0.0,2.0,Tiring
0.0,0.0,2.0,2.0,2.0,0.0,2.0,,2.0,0.0,2.0,0.0,bad sleep
2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,,2.0,0.0,2.0,productive
0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,0.0,stressed
2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,,2.0,Foggy
0.0,0.0,2.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,,grumpy
