Ex bike,Tranexamic acid,Neti Pot,Cod liver oil,Phyical Therapy - stretches,IVIG,Therapy,Caffeine,Osteopathy,Naproxen,Toprol,Miralax low dose at night,Amitriptyline,tumeric extract,wear mask,Aspirin,gluten free,anti-diarrhea med,Vitamin D3,Prilosec,Prednisone,excedrin migraine,Zantac,Ativan,vitamin D tablets,Plaquenil,Clarithromycin,Psyllium husk,Turmeric,Vitamin b complex,Mt. Si ACDC 2x Coco Caps,Probiotic,therapy session,Methotrexate,Womans balance,Megaspore,psychologist,Steps,Magnesium,THC,shoulder stretching,Triamcinolone Cream,Allegra,Flexeril,Goth clubbing,Tizanidine,Fish oil,Tramadol,Post-op ice device,electric wheelchair,cocodamol,Corticosteroids,Ibuprofen 800mg,Shoe Insoles,Home physio exercises,Ambien CR,Benadryl,Aleve,Fentanyl,Folate,Acetyl-l-carnitine,Protecting back,Human Growth Hormone,Rest,Compression Stockings,Famotidine,Charcoal,Claritin,pilates,Strattera,Relaxing,Probiotic Gummy,Citalopram,Bicarb on scalp,Zofran,Clinda-derm,Hydroxyzine,Synthroid,Inolaxol,Sauna,MonoNessa,meds,Dexedrine,Pantoprazole,Low-FODMAP diet,Vitamin Gummies,Humira,Acetaminophen plus Codeine Number 3,Tetralabs Gold Caps CBN,Greens First Powder,Inderal,Astelin,Vitamin C,Vitamin B,Probiotics,5 or more portions of fruit and veg,Equilibrant,eye drops,Melatonin,Klonopin,Medication,Ocella,CBD,Surgical repair of injured shoulder ,Cymbalta,hydrocortisone suppository ,Cranberry extract,Clonazepam,Vitamin b12,EnzymixPro,Triamcinolone Lotion,Vitamin e,Vitamin d,Ice pack,Dicyclomine,Tolterodine,Diazepam,Norco,Contraceptive pill,More stretching,physical therapy,Flonase,Omeprazole,Pepto-bismol,Albuterol Inhaler,Lying flat,Multi-vitamin,Acupuncture,Metformin,Bactrim,Farm,Pro Omega 2000 Fish Oil,Physio,Topiramate,pool,Excedrin,N-acetyl cysteine,CoQ10,Paracatamol with codeine,Oxynorm,ZMA,Calcium citrate,Calcium,Magnesium citrate,Sunlight,Midodrine,Cetirizine,ponstan,b12 spray,Sertraline,Singulair,stool softener,Allergy Shots,magnesium ionic,Zinc,Hemorrhoid Cream,Meditation,hip abduction,Wear shoulder brace,Zomig,Tretinoin,Alcohol,Migraine Diet,Naltrexone,Provigil,Valacyclovir,Imodium,aqua therapy,birth control,Inflamma-blox,Magnesium glycinate,5-htp,colofac mr,Nasonex,Fexofenadine,Zolpidem ER,Chiropractic adjustment,Hit 10k Steps,Ligament Restore,B12 drops,eye ointment,Daily walk,Ubiquinol,Fruit,Achy breaky rub,dairy free,Tetralabs Gold Caps,Iberogast,Tensor Band,Topical ibuprofen,Enada,Stretching,Wore arch supports all day,Ranitidine,strapping of shoulder,Cefaly Unit,Codeine,thyroid support complex,Progesterone,Bovine colostrum,Migraine herb feverfew tablets,heating pads,Iron,Vitamin d+calcium,Adderall,Wristies,Mebeverine,Wellbutrin,Iodine,Freezie wrap,B Complex,Ibuprofen 600mg,cough syrup,Montelukast,Heating Pad,Sleep,Oxycodone,Klaire Ther-biotic,Moringa,Adderall XR,Pristiq,Resrticted diet,drawing,eye compress,row
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,Ex bike
,,,,0.0,,,,0.0653931119186,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.591340704048,,,,,,,,,,0.071769767898,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0262545032799,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.145403539114,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,0.756952783113,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,Tranexamic acid
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Neti Pot
,,,,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,0.0,,,,,,,0.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,Phyical Therapy - stretches
,,,0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Caffeine
,0.0653931119186,,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,0.293437506957,,,,,,,,,,0.000153564719657,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.00896341623651,,,,0.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,0.0165849974648,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,2.0,,,,,,0.0,,,0.0,,,,,0.42782933292,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,Osteopathy
0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.00488575233864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0656885382,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,Naproxen
