Acupuncture,birth control,Magnesium glycinate,5-htp,Nasonex,Claritin,tumeric extract,Bentyl,Strattera,Synthroid,Famotidine,CoQ10,therapy session,Vitamin d,Astelin,Calcium citrate,Vitamin C,Vitamin b12,Allegra,Klonopin,Goth clubbing,Singulair,Fish oil,Vitamin b complex,Allergy Shots,Zinc,MMJ,Melatonin,row
,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,Acupuncture
2.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,birth control
2.0,0.0,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,Magnesium glycinate
2.0,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,5-htp
2.0,0.0,0.0,0.0,,0.0,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,Nasonex
2.0,0.0,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,Claritin
0.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,tumeric extract
,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,Bentyl
2.0,0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,Strattera
0.0,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,Synthroid
