Quell Unit,had sex,mag ox,Thyroid-Pro,walked,exercise,listen to music ,Trileptal,ate breakfast,dairy,Dogs,Wellbutrin,row
,,,,,,,,,,,,Quell Unit
,,,,,,,,,,,,had sex
,,,,2.0,,,0.0,,,,0.0,mag ox
,,,,,,,,,,,,Thyroid-Pro
,,2.0,,,0.0,0.0,2.0,0.0203446371339,0.0,0.0,2.0,walked
,,,,0.0,,0.0,,0.0,0.0,0.0,,exercise
,,,,0.0,0.0,,,0.0,0.0,0.0,,listen to music 
,,0.0,,2.0,,,,,,,0.0,Trileptal
,,,,0.0203446371339,0.0,0.0,,,0.0,0.0,,ate breakfast
,,,,0.0,0.0,0.0,,0.0,,0.0,,dairy
,,,,0.0,0.0,0.0,,0.0,0.0,,,Dogs
,,0.0,,2.0,,,0.0,,,,,Wellbutrin
