Went to work,coconut milk,nectarine,hiking,spinach,doctor appointment,comcast >:(,jimmy john's,good sleep,caffeine,Provigil,sinus infection,mango,exercise,stressed,hot weather,holiday,meditated,got work done,row
,,2.0,2.0,2.0,0.0,,,,,2.0,,,,0.0,,,2.0,0.0,Went to work
,,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,coconut milk
2.0,,,0.0,0.0,2.0,,,,,0.0,,,,2.0,,,0.0,2.0,nectarine
2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,hiking
2.0,,0.0,0.0,,2.0,,,,,0.0,,,,2.0,,,0.0,2.0,spinach
0.0,,2.0,2.0,2.0,,,,,,2.0,,,,0.0,,,2.0,0.0,doctor appointment
,0.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,comcast >:(
,0.0,,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,jimmy john's
,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,good sleep
,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,caffeine
2.0,,0.0,0.0,0.0,2.0,,,,,,,,,2.0,,,0.0,2.0,Provigil
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,sinus infection
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,mango
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,,exercise
0.0,,2.0,2.0,2.0,0.0,,,,,2.0,,,,,,,2.0,0.0,stressed
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,hot weather
,0.0,,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,,holiday
2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,meditated
0.0,,2.0,2.0,2.0,0.0,,,,,2.0,,,,0.0,,,2.0,,got work done
