Dicyclomine,Clinda-derm,Dancing,physical therapy,Tretinoin,Naproxen,prayer,Fexofenadine,B12 timed release,gluten free diet,Therapy,Thyroid-Pro (CanPrev),creative writing,Exercise--walking,Gabapentin,Multi vitamin,Stretching,Trigger Points,Buffered Salmon Oil - DHA - EPA,Deep rest,Tavegyl,Sisu B Calm,playing music,Swimming,Sertraline,Montelukast,Biosil,AOR Zinc-Copper Balance,Cardio,row
,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,Dicyclomine
0.0,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,Clinda-derm
,,,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Dancing
,,0.0,,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,physical therapy
0.0,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,Tretinoin
,,2.0,2.0,,,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,2.0,,Naproxen
,,2.0,2.0,,0.0,,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,0.0,,,2.0,2.0,,prayer
0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,Fexofenadine
,,0.0,0.0,,2.0,2.0,,,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,B12 timed release
,,,,,,,,,,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,0.0,gluten free diet
,,0.0,0.0,,2.0,2.0,,0.0,,,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Therapy
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Thyroid-Pro (CanPrev)
,,2.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,,2.0,,0.0,0.0,2.0,2.0,0.00358658291907,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,creative writing
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Exercise--walking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gabapentin
,,,,,,,,,0.0,,,0.0,,,,0.0,,,0.0,,,,,0.0,,,,0.0,Multi vitamin
,,,,,,,,,0.0,,,0.0,,,0.0,,,,0.0,,,,,0.0,,,,0.0,Stretching
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Trigger Points
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,,2.0,0.0,0.0,2.0,2.0,,,0.0,0.0,,Buffered Salmon Oil - DHA - EPA
,,2.0,2.0,,0.0,0.0,,2.0,0.0,2.0,2.0,0.00358658291907,2.0,,0.0,0.0,2.0,2.0,,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,Deep rest
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,,0.0,2.0,2.0,,,0.0,0.0,,Tavegyl
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,,2.0,2.0,,,0.0,0.0,,Sisu B Calm
,,2.0,2.0,,0.0,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,,0.0,,,2.0,2.0,,playing music
,,2.0,2.0,,0.0,0.0,,2.0,,2.0,2.0,0.0,2.0,,,,2.0,2.0,0.0,2.0,2.0,0.0,,,,2.0,2.0,,Swimming
,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,,,,,0.0,Sertraline
0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,Montelukast
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,,0.0,,Biosil
,,0.0,0.0,,2.0,2.0,,0.0,,0.0,0.0,2.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,2.0,,,0.0,,,AOR Zinc-Copper Balance
,,,,,,,,,0.0,,,0.0,,,0.0,0.0,,,0.0,,,,,0.0,,,,,Cardio
