didn't really eat lunch,Vitamins,Cod liver oil,physical therapy,IVIG,church,Dancing,Fluids,Biosil,no sleep,Albuterol Inhaler,Naproxen,prayer,Language Learning,Extra Medications,fuck yeah avocado,ate breakfast,danced,ASMR,Coffee,Vitamin D3,Medical Marijuana,trying to clean the house,Zantac,espresso,SPD alternative treatments,sugar,Daily walk,Medical marijuana,slept 12 hours,had sex,Exercise--walking,playing music,Psyllium husk,Weather- rain,Therapy,Swimming,housework,creative writing,took sleeping pill,Benadryl,coffee,Buffered Salmon Oil - DHA - EPA,Aloe Detox Water,Ranitidine,Pet Therapy,Excedrin,Ligament Restore,Quiet,Calcium citrate,breathing exercises,Essential oils,busy,pasta,Tavegyl,worked,sex,Sisu B Calm,no sleep last night,Thyroid-Pro (CanPrev),Turmeric,Vitamin C,Trigger Points,Medication,Cetirizine,home alone,Deep rest,walked,hot,B12 timed release,cuddled kitten,Vitamin d,cake,AOR Zinc-Copper Balance,Meditation,masturbated,low protein,pasta and veggies,massage,TENS Unit,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,didn't really eat lunch
,,,,,0.0,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Vitamins
,,,,0.0,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,Cod liver oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,0.0,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,IVIG
,0.0,,,,,,0.0,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,church
,,,,,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,0.0,,,,,,,,,0.0,2.0,,,2.0,2.0,,2.0,,,,0.0,,,,,,2.0,,,,2.0,,2.0,,2.0,0.0,,2.0,,,0.0,,,,2.0,,,2.0,2.0,,,2.0,,,,,,,Dancing
,0.0,,,,0.0,,,,2.0,,,,2.0,0.0,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Fluids
,,,,,,2.0,,,,,0.0,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Biosil
,2.0,,,,2.0,,2.0,,,,,,0.0,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,no sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,,,,,,,,,Albuterol Inhaler
,,,,,,2.0,,0.0,,,,0.0,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,Naproxen
,,,,,,2.0,,0.0,,,0.0,,,,0.0,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,prayer
,2.0,,,,2.0,,2.0,,0.0,,,,,2.0,,,,0.0,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,Language Learning
,0.0,,,,0.0,,0.0,,2.0,,,,2.0,,,,,2.0,0.0,,0.0,,,2.0,2.0,,2.0,2.0,2.0,,0.0,,,0.0,0.0,,,,,,2.0,,0.0,,2.0,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,Extra Medications
,,,,,,2.0,,0.0,,,0.0,0.0,,,,,,,,,,2.0,,,,,,,,,2.0,0.0,,,0.0,0.0,,0.0,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,0.0,2.0,,0.0,,,2.0,,,,0.0,,,0.0,0.0,,,0.0,,,,,,,fuck yeah avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,danced
,2.0,,,,2.0,,2.0,,0.0,,,,0.0,2.0,,,,,2.0,,2.0,,,0.0,0.0,,0.0,0.0,0.0,,2.0,,,2.0,2.0,,,,,,0.0,,2.0,,0.0,,,,,2.0,2.0,0.0,,,,,,,,0.0,,,0.0,,,,,,,,,,,2.0,,,,2.0,2.0,ASMR
