Vitamins,espresso,Fluids,early night,Extra Medications,Coffee,busy,Medical Marijuana,slept 12 hours,Daily walk,Exercise--walking,Weather- rain,Therapy,coffee,Aloe Detox Water,Essential oils,Turmeric,12K Steps,no sleep,Sleep,Meditation,massage,row
,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Vitamins
0.0,,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,espresso
2.0,2.0,,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,Fluids
,,,,,,,,,,,,,,,,,0.0,,,,,early night
2.0,2.0,0.0,,,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,Extra Medications
0.0,0.0,2.0,,2.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Coffee
2.0,2.0,0.0,,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,busy
0.0,0.0,2.0,,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Medical Marijuana
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,slept 12 hours
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Daily walk
2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,Exercise--walking
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Weather- rain
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,,2.0,,0.0,2.0,Therapy
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,,2.0,,0.0,2.0,coffee
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,,2.0,,0.0,2.0,Aloe Detox Water
2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,,0.0,,2.0,0.0,Essential oils
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,2.0,,0.0,2.0,Turmeric
,,,0.0,,,,,,,,,,,,,,,,,,,12K Steps
2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,,,2.0,0.0,no sleep
,,,,,,,,,,,,,,,,,,,,,,Sleep
0.0,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,2.0,,,2.0,Meditation
2.0,2.0,0.0,,0.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,,0.0,,2.0,,massage
