Flexeril,ate cheese-again,Ibuprofen,Synthroid,Valacyclovir,ate salsa,0.9% Sodium Chloride Solution 1L,ate rice,Vitamin d,Amitriptyline,ate tomatoes,Metformin,ate rice last night,row
,,,,,,,,,,,,,Flexeril
,,,,,0.0,,0.0,,,0.0,,2.0,ate cheese-again
,,,,,,2.0,,,,,,,Ibuprofen
,,,,,,,,,,,,,Synthroid
,,,,,,,,,,,,,Valacyclovir
,0.0,,,,,,0.0,,,0.0,,2.0,ate salsa
,,2.0,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
,0.0,,,,0.0,,,,,0.0,,2.0,ate rice
,,,,,,,,,,,,,Vitamin d
,,,,,,,,,,,,,Amitriptyline
,0.0,,,,0.0,,0.0,,,,,2.0,ate tomatoes
,,,,,,,,,,,,,Metformin
,2.0,,,,2.0,,2.0,,,2.0,,,ate rice last night
