Viibryd,Fluoxetine,Armodafinil,Caffeine,gluten free,Cabergoline,Toprol,Levothyroxine,Metoprolol,Meditation,gluten free diet,row
,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,Viibryd
2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,2.0,Fluoxetine
0.0,2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,Armodafinil
0.0,2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,0.0,Caffeine
0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,gluten free
0.0,2.0,0.0,0.0,0.0,,,0.0,0.0,2.0,0.0,Cabergoline
,,,,,,,,,,,Toprol
0.0,2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,Levothyroxine
0.0,2.0,0.0,0.0,0.0,0.0,,0.0,,2.0,0.0,Metoprolol
2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,Meditation
0.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,gluten free diet
