Vitamins,slept 12 hours,floravit iron,Extra Medications,Vitamin d,Coffee,Yin Chiao,Pataday,Wei Zhang Shun Qi Wan,Medical Marijuana,espresso,Daily walk,Weather- rain,Turmeric,coffee,Aloe Detox Water,gluten,Medical marijuana,Ibuprofen,Gan Mao Qing anti-viral,Progesterone,raspberries,Magnesium,Ondansetron,Cleaning ,Mirtazapine,Tian Ma Tou Tong - headache,Meditation,massage,row
,2.0,,0.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,0.0,0.0,Vitamins
2.0,,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,2.0,slept 12 hours
,,,,0.0,,2.0,2.0,0.0,,,0.0,,0.0,,,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,,floravit iron
0.0,2.0,,,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,0.0,0.0,Extra Medications
,,0.0,,,,2.0,2.0,0.0,,,0.0,,0.0,,,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,,Vitamin d
2.0,0.0,,2.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,2.0,Coffee
,,2.0,,2.0,,,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,Yin Chiao
,,2.0,,2.0,,0.0,,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,Pataday
,,0.0,,0.0,,2.0,2.0,,,,0.0,,0.0,,,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,,Wei Zhang Shun Qi Wan
2.0,0.0,,2.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,2.0,Medical Marijuana
2.0,0.0,,2.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,2.0,espresso
2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Daily walk
2.0,0.0,,2.0,,0.0,,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,,,,,,,,,2.0,2.0,Weather- rain
2.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,Turmeric
2.0,0.0,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,2.0,2.0,coffee
2.0,0.0,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,2.0,2.0,Aloe Detox Water
,,0.0,,0.0,,2.0,2.0,0.0,,,0.0,,0.0,,,,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,,gluten
2.0,0.0,,2.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2.0,2.0,Medical marijuana
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,Ibuprofen
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,,Gan Mao Qing anti-viral
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,2.0,,,Progesterone
,,0.0,,0.0,,2.0,2.0,0.0,,,0.0,,0.0,,,0.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,,raspberries
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,2.0,,,Magnesium
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,2.0,,,Ondansetron
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,,,Cleaning 
,,2.0,,2.0,,0.0,0.0,2.0,,,2.0,,2.0,,,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,2.0,,,Mirtazapine
,,0.0,,0.0,,2.0,2.0,0.0,,,0.0,,0.0,,,0.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,,,,Tian Ma Tou Tong - headache
0.0,2.0,,0.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,,0.0,Meditation
0.0,2.0,,0.0,,2.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,,,,,,,0.0,,massage
