Medication problems,chores,felt blamed,Slept a lot,Painful all over,tired,depressed,SAD light,saw Chris,stressed,worried,No sleep at all,Delusions,triggered,calm,Stressed,Two days spilling on self.,"Fell asleep w drink in hand, got soaked",Dozing all day,Slept during day,row
,,,0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,,,0.0,2.0,0.0,2.0,2.0,Medication problems
,,0.0,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,chores
,0.0,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,,felt blamed
0.0,,,,2.0,2.0,0.0,,,2.0,,2.0,2.0,,,0.0,2.0,0.0,2.0,2.0,Slept a lot
2.0,,,2.0,,0.0,2.0,,,0.0,,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,Painful all over
2.0,,,2.0,0.0,,2.0,,,0.0,,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,tired
0.0,,,0.0,2.0,2.0,,,,2.0,,2.0,2.0,,,0.0,2.0,0.0,2.0,2.0,depressed
,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,,,,,,SAD light
,0.0,0.0,,,,,0.0,,,0.0,,,0.0,0.0,,,,,,saw Chris
2.0,,,2.0,0.0,0.0,2.0,,,,,0.0,0.0,,,2.0,0.0,2.0,0.0,0.0,stressed
,0.0,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,,,worried
2.0,,,2.0,0.0,0.0,2.0,,,0.0,,,0.0,,,2.0,0.0,2.0,0.0,0.0,No sleep at all
2.0,,,2.0,0.0,0.0,2.0,,,0.0,,0.0,,,,2.0,0.0,2.0,0.0,0.0,Delusions
,0.0,0.0,,,,,0.0,0.0,,0.0,,,,0.0,,,,,,triggered
,0.0,0.0,,,,,0.0,0.0,,0.0,,,0.0,,,,,,,calm
0.0,,,0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,,,,2.0,0.0,2.0,2.0,Stressed
2.0,,,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,,2.0,,2.0,0.0,0.0,Two days spilling on self.
0.0,,,0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,,,0.0,2.0,,2.0,2.0,"Fell asleep w drink in hand, got soaked"
2.0,,,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,,2.0,0.0,2.0,,0.0,Dozing all day
2.0,,,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,,,2.0,0.0,2.0,0.0,,Slept during day
